rank,prev_rank,name,league,off,def,spi
319,319,Union Santa Fe,Argentina Primera Division,1,1.25,39.16
320,320,Sporting Kansas City,Major League Soccer,1.4,1.73,39.15
321,321,Tondela,Portuguese Liga,1.06,1.32,39.15
322,322,Hannover 96,German 2. Bundesliga,1.21,1.51,39.14
323,323,FC Juárez,Mexican Primera Division Torneo Clausura,1.24,1.54,39
324,324,Atlético Goianiense,Brasileiro Série A,1.16,1.45,38.9
325,325,Troyes,French Ligue 2,1,1.26,38.84
326,326,Columbus Crew,Major League Soccer,1.14,1.43,38.75
327,327,Belenenses,Portuguese Liga,1.05,1.33,38.7
328,328,Shanghai Greenland,Chinese Super League,1.34,1.68,38.68
329,329,Cadiz,Spanish Segunda Division,0.98,1.25,38.64
330,330,Vitoria Setubal,Portuguese Liga,0.94,1.2,38.62
331,331,Henan Jianye,Chinese Super League,1.25,1.57,38.55
332,332,Elche,Spanish Segunda Division,1.12,1.42,38.5
333,333,Atlas,Mexican Primera Division Torneo Clausura,1.12,1.43,38.4
334,334,Maritimo,Portuguese Liga,0.98,1.26,38.24
335,335,Sydney FC,Australian A-League,1.23,1.57,38.22
336,336,Portland Timbers,Major League Soccer,1.38,1.75,38.16
337,337,Hebei China Fortune FC,Chinese Super League,1.29,1.65,38.14
338,338,Real Salt Lake,Major League Soccer,1.01,1.31,38.12
339,339,Mamelodi Sundowns,South African ABSA Premier League,0.98,1.26,38.09
340,340,BK Hacken,Swedish Allsvenskan,1.12,1.44,38.08
341,341,Toluca,Mexican Primera Division Torneo Clausura,1.21,1.55,38.03
342,342,Huracán,Argentina Primera Division,0.95,1.24,37.93
343,343,New England Revolution,Major League Soccer,1.36,1.74,37.85
344,344,Puebla,Mexican Primera Division Torneo Clausura,1,1.32,37.71
345,345,PEC Zwolle,Dutch Eredivisie,1.41,1.81,37.71
346,346,Yeni Malatyaspor,Turkish Turkcell Super Lig,1.25,1.61,37.71
347,347,Clermont Foot,French Ligue 2,1.01,1.32,37.68
348,348,Wuhan Zall,Chinese Super League,1.17,1.53,37.62
349,349,Atromitos,Greek Super League,0.98,1.29,37.47
350,350,San Jose Earthquakes,Major League Soccer,1.38,1.79,37.45
351,351,St. Truidense,Belgian Jupiler League,1.2,1.57,37.34
352,352,Colorado Rapids,Major League Soccer,1.34,1.75,37.32
353,353,Central Córdoba Santiago del Estero,Argentina Primera Division,1,1.34,37.16
354,354,Kasimpasa,Turkish Turkcell Super Lig,1.37,1.79,37.14
355,355,SV Zulte Waregem,Belgian Jupiler League,1.32,1.74,37.11
356,356,Holstein Kiel,German 2. Bundesliga,1.28,1.71,36.69
357,357,Dalian Aerbin,Chinese Super League,1.29,1.73,36.66
358,358,Charlton Athletic,English League Championship,1.11,1.5,36.6
359,359,SV Sandhausen,German 2. Bundesliga,1.23,1.66,36.45
360,360,Kaizer Chiefs,South African ABSA Premier League,1.01,1.39,36.44
361,361,Málaga,Spanish Segunda Division,0.78,1.09,36.44
362,362,Asteras Tripolis,Greek Super League,0.96,1.33,36.33
363,363,FC Twente,Dutch Eredivisie,1.22,1.66,36.17
364,364,SD Huesca,Spanish Segunda Division,1.02,1.41,36.09
365,365,Bodo/Glimt,Norwegian Tippeligaen,1.32,1.8,35.87
366,366,Peterborough United,English League One,1.23,1.69,35.85
367,367,Sporting Gijón,Spanish Segunda Division,0.85,1.21,35.82
368,368,Aberdeen,Scottish Premiership,1.09,1.52,35.81
369,369,Le Havre,French Ligue 2,0.95,1.35,35.74
370,370,IFK Goteborg,Swedish Allsvenskan,1.12,1.56,35.71
371,371,Emmen,Dutch Eredivisie,1.23,1.71,35.59
372,372,Caen,French Ligue 2,1.08,1.52,35.56
373,373,Luton Town,English League Championship,1.09,1.55,35.31
374,374,OFI Crete,Greek Super League,1.02,1.46,35.22
375,375,Caykur Rizespor,Turkish Turkcell Super Lig,1.13,1.6,35.2
376,376,F91 Dudelange,UEFA Europa League,1.4,1.94,35.14
377,377,FC Sion,Swiss Raiffeisen Super League,1.18,1.66,35.1
378,378,AC Ajaccio,French Ligue 2,0.88,1.29,34.91
379,379,FC Zurich,Swiss Raiffeisen Super League,1.22,1.72,34.89
380,380,Chongqing Lifan,Chinese Super League,1.08,1.56,34.78
381,381,1. FC Heidenheim 1846,German 2. Bundesliga,1.07,1.54,34.74
382,382,Konyaspor,Turkish Turkcell Super Lig,0.83,1.24,34.73
383,383,Melbourne City,Australian A-League,1.19,1.7,34.57
384,384,Desportivo Aves,Portuguese Liga,1.01,1.47,34.53
385,385,Genclerbirligi,Turkish Turkcell Super Lig,1.09,1.59,34.48
386,386,Hartberg,Austrian T-Mobile Bundesliga,1.44,2.05,34.11
387,387,Orlando City SC,Major League Soccer,1.17,1.71,34.11
388,388,Guangzhou RF,Chinese Super League,1.44,2.07,33.73
389,389,Orlando Pirates,South African ABSA Premier League,0.98,1.48,33.73
390,390,DC United,Major League Soccer,1.11,1.66,33.65
391,391,Aldosivi,Argentina Primera Division,0.86,1.33,33.63
392,392,Mirandes,Spanish Segunda Division,1.09,1.64,33.56
393,393,Tianjin Quanujian,Chinese Super League,1.16,1.73,33.51
394,394,Jahn Regensburg,German 2. Bundesliga,1.21,1.8,33.39
395,395,Denizlispor,Turkish Turkcell Super Lig,0.96,1.48,33.38
396,396,Consadole Sapporo,Japanese J League,1.15,1.72,33.38
397,397,Tenerife,Spanish Segunda Division,0.91,1.4,33.38
398,398,Houston Dynamo,Major League Soccer,1.16,1.74,33.25
399,399,Antalyaspor,Turkish Turkcell Super Lig,1.07,1.62,33.25
400,400,Neuchatel Xamax,Swiss Raiffeisen Super League,1.09,1.65,33.21
401,401,SpVgg Greuther Fürth,German 2. Bundesliga,1.11,1.68,33.16
402,402,Larissa,Greek Super League,0.83,1.32,33.12
403,403,Oxford United,English League One,1.07,1.64,33.11
404,404,1. FC Nürnberg,German 2. Bundesliga,1.05,1.62,32.96
405,405,Crotone,Italy Serie B,1.04,1.6,32.92
406,406,Viking FK,Norwegian Tippeligaen,1.19,1.8,32.76
407,407,ADO Den Haag,Dutch Eredivisie,1.21,1.83,32.74
408,408,FC St. Pauli,German 2. Bundesliga,1.05,1.62,32.7
409,409,Shenzhen FC,Chinese Super League,1.19,1.81,32.64
410,410,SV Darmstadt 98,German 2. Bundesliga,0.98,1.56,32.18
411,411,Montreal Impact,Major League Soccer,1.14,1.79,31.91
412,412,Real Oviedo,Spanish Segunda Division,0.94,1.53,31.85
413,413,Sunderland,English League One,0.9,1.47,31.75
414,414,Thun,Swiss Raiffeisen Super League,1.18,1.86,31.56
415,415,SD Ponferradina,Spanish Segunda Division,0.86,1.43,31.49
416,416,Cercle Brugge,Belgian Jupiler League,1.05,1.7,31.46
417,417,Frosinone,Italy Serie B,0.87,1.45,31.41
418,418,Livingston,Scottish Premiership,1.01,1.66,31.15
419,419,SV Mattersburg,Austrian T-Mobile Bundesliga,1.11,1.8,31.12
420,420,Portsmouth,English League One,0.98,1.62,31.05
421,421,Rotherham United,English League One,1.09,1.77,31.02
422,422,FC Trenkwalder Admira,Austrian T-Mobile Bundesliga,1.1,1.79,30.89
423,423,Newcastle Jets,Australian A-League,1.15,1.87,30.79
424,424,Numancia,Spanish Segunda Division,0.86,1.49,30.5
425,425,Hibernian,Scottish Premiership,1.06,1.77,30.48
426,426,Valenciennes,French Ligue 2,0.8,1.4,30.47
427,427,Eupen,Belgian Jupiler League,1.04,1.74,30.42
428,428,Haugesund,Norwegian Tippeligaen,1.01,1.7,30.35
429,429,AD Alcorcon,Spanish Segunda Division,0.86,1.5,30.34
430,430,Cittadella,Italy Serie B,0.89,1.55,30.11
431,431,VfL Osnabruck,German 2. Bundesliga,1.08,1.82,30.06
432,432,Las Palmas,Spanish Segunda Division,0.88,1.54,29.97
433,433,Wellington Phoenix,Australian A-League,1.13,1.89,29.95
434,434,Colon Santa Fe,Argentina Primera Division,0.83,1.48,29.95
435,435,Spezia,Italy Serie B,0.87,1.54,29.89
436,436,Sonderjyske,Danish SAS-Ligaen,1.05,1.79,29.84
437,437,Godoy Cruz,Argentina Primera Division,0.94,1.64,29.76
438,438,Kilmarnock,Scottish Premiership,0.91,1.6,29.68
439,439,SuperSport United,South African ABSA Premier League,0.81,1.46,29.64
440,440,VVV Venlo,Dutch Eredivisie,1.04,1.8,29.59
441,441,Ankaragucu,Turkish Turkcell Super Lig,0.94,1.66,29.57
442,442,Vegalta Sendai,Japanese J League,0.88,1.57,29.56
443,443,Coventry City,English League One,0.83,1.49,29.55
444,444,IF Elfsborg,Swedish Allsvenskan,1.03,1.79,29.51
445,445,Auxerre,French Ligue 2,0.77,1.42,29.4
446,446,VfL Bochum,German 2. Bundesliga,1.06,1.84,29.24
447,447,Odd BK,Norwegian Tippeligaen,1.02,1.79,29.15
448,448,Motherwell,Scottish Premiership,0.92,1.64,29.13
449,449,Lyngby,Danish SAS-Ligaen,0.93,1.67,29.09
450,450,Fortuna Sittard,Dutch Eredivisie,1.08,1.88,29.05
451,451,Stabaek,Norwegian Tippeligaen,0.94,1.68,29
452,452,Esbjerg,Danish SAS-Ligaen,0.9,1.63,29
453,453,Fuenlabrada,Spanish Segunda Division,0.77,1.45,28.85
454,454,Deportivo La Coruña,Spanish Segunda Division,0.79,1.49,28.72
455,455,Erzgebirge Aue,German 2. Bundesliga,0.91,1.66,28.53
456,456,Hobro IK,Danish SAS-Ligaen,0.82,1.54,28.49
457,457,Urawa Red Diamonds,Japanese J League,0.96,1.74,28.44
458,458,Bidvest Wits,South African ABSA Premier League,0.74,1.44,28.42
459,459,Kristiansund BK,Norwegian Tippeligaen,1,1.82,28.27
460,460,AS Nancy Lorraine,French Ligue 2,0.73,1.42,28.24
461,461,WSG Swarovski Wattens,Austrian T-Mobile Bundesliga,1.08,1.93,28.17
462,462,Nagoya Grampus Eight,Japanese J League,1.01,1.84,28.06
463,463,Silkeborg,Danish SAS-Ligaen,1.06,1.92,27.95
464,464,Indy Eleven,United Soccer League,0.95,1.76,27.92
465,465,Karlsruher SC,German 2. Bundesliga,1.03,1.88,27.88
466,466,Racing Santander,Spanish Segunda Division,0.8,1.55,27.85
467,467,Tampa Bay Rowdies,United Soccer League,0.96,1.79,27.74
468,468,Miami FC,United Soccer League,1.06,1.93,27.69
469,469,Lamia,Greek Super League,0.63,1.3,27.64
470,470,SV Wehen Wiesbaden,German 2. Bundesliga,0.95,1.79,27.57
471,471,Chievo Verona,Italy Serie B,0.76,1.51,27.56
472,472,RKC,Dutch Eredivisie,1.08,1.96,27.54
473,473,Western Sydney FC,Australian A-League,1.09,1.99,27.53
474,474,Nashville SC,Major League Soccer,0.86,1.65,27.53
475,475,Doncaster Rovers,English League One,0.84,1.65,27.3
476,476,San Antonio FC,United Soccer League,1.1,2.02,27.27
477,477,FC Xanthi,Greek Super League,0.65,1.36,27.24
478,478,Albacete,Spanish Segunda Division,0.7,1.44,27.07
479,479,Extremadura UD,Spanish Segunda Division,0.75,1.52,27.01
480,480,Lugo,Spanish Segunda Division,0.71,1.47,26.87
481,481,Guizhou Renhe,Chinese Super League,0.94,1.82,26.81
482,482,Fleetwood Town,English League One,0.81,1.62,26.75
483,483,Empoli,Italy Serie B,0.87,1.72,26.7
484,484,Orange County SC,United Soccer League,0.96,1.85,26.69
485,485,Melbourne Victory,Australian A-League,1.08,2.03,26.62
486,486,Dynamo Dresden,German 2. Bundesliga,0.86,1.72,26.55
487,487,Louisville City FC,United Soccer League,0.96,1.87,26.54
488,488,Adelaide United,Australian A-League,1.15,2.14,26.51
489,489,KV Oostende,Belgian Jupiler League,0.97,1.88,26.49
490,490,Shimizu S-Pulse,Japanese J League,1.07,2.03,26.23
491,491,Kayserispor,Turkish Turkcell Super Lig,1.1,2.09,26.11
492,492,Valerenga,Norwegian Tippeligaen,0.9,1.82,25.91
493,493,Stromsgodset,Norwegian Tippeligaen,1.02,1.99,25.85
494,494,Chambly Thelle FC,French Ligue 2,0.76,1.61,25.81
495,495,Grenoble,French Ligue 2,0.73,1.56,25.8
496,496,SK Brann,Norwegian Tippeligaen,0.81,1.69,25.72
497,497,Rodez,French Ligue 2,0.76,1.61,25.61
498,498,Panetolikos,Greek Super League,0.75,1.61,25.45
499,499,Brisbane Roar,Australian A-League,0.91,1.85,25.41
500,500,Western United,Australian A-League,1.01,2.01,25.37
501,501,Oita Trinita,Japanese J League,0.65,1.48,25.06
502,502,Vancouver Whitecaps,Major League Soccer,0.92,1.9,25.01
503,503,Veracruz,Mexican Primera Division Torneo Apertura,0.87,1.83,24.89
504,504,Cremonese,Italy Serie B,0.78,1.7,24.89
505,505,Volos NFC,Greek Super League,0.74,1.64,24.83
506,506,Sochaux,French Ligue 2,0.68,1.55,24.74
507,507,St. Pölten,Austrian T-Mobile Bundesliga,0.92,1.93,24.62
508,508,Reno 1868 FC,United Soccer League,0.98,2.02,24.53
509,509,Paris FC,French Ligue 2,0.69,1.58,24.49
510,510,Black Aces,South African ABSA Premier League,0.81,1.78,24.28
511,511,Le Mans,French Ligue 2,0.83,1.82,24.08
512,512,Maritzburg Utd,South African ABSA Premier League,0.56,1.39,24.05
513,513,Sagan Tosu,Japanese J League,0.74,1.69,24.05
514,514,Pordenone Calcio,Italy Serie B,0.78,1.75,23.92
515,515,Ipswich Town,English League One,0.71,1.65,23.91
516,516,FC Cincinnati,Major League Soccer,0.92,1.99,23.81
517,517,AC Horsens,Danish SAS-Ligaen,0.77,1.76,23.75
518,518,Virtus Entella,Italy Serie B,0.79,1.8,23.51
519,519,Chateauroux,French Ligue 2,0.72,1.69,23.5
520,520,Waasland-Beveren,Belgian Jupiler League,0.86,1.92,23.38
521,521,Sacramento Republic FC,United Soccer League,0.85,1.92,23.23
522,522,Orebro SK,Swedish Allsvenskan,0.9,2,23.1
523,523,Cosenza,Italy Serie B,0.67,1.64,23.04
524,524,Gillingham,English League One,0.66,1.64,22.95
525,525,Austin Bold FC,United Soccer League,0.85,1.93,22.94
526,526,St Johnstone,Scottish Premiership,0.7,1.7,22.91
527,527,Salernitana,Italy Serie B,0.68,1.67,22.8
528,528,Sarpsborg,Norwegian Tippeligaen,0.75,1.78,22.79
529,529,Pittsburgh Riverhounds,United Soccer League,0.78,1.83,22.77
530,530,Hearts,Scottish Premiership,0.83,1.92,22.76
531,531,IK Sirius,Swedish Allsvenskan,0.84,1.93,22.74
532,532,Bloem Celtic,South African ABSA Premier League,0.8,1.9,22.37
533,533,Shonan Bellmare,Japanese J League,0.86,1.99,22.29
534,534,Perugia,Italy Serie B,0.67,1.7,22.27
535,535,Helsingborgs IF,Swedish Allsvenskan,0.76,1.85,22.03
536,536,Niort,French Ligue 2,0.76,1.87,21.87
537,537,Real Monarchs SLC,United Soccer League,0.91,2.1,21.86
538,538,Saint Louis FC,United Soccer League,0.79,1.92,21.8
539,539,Östersunds FK,Swedish Allsvenskan,0.81,1.95,21.77
540,540,US Pescara,Italy Serie B,0.75,1.89,21.31
541,541,Burton Albion,English League One,0.87,2.09,21.18
542,542,F.B.C Unione Venezia,Italy Serie B,0.65,1.74,20.91
543,543,St Mirren,Scottish Premiership,0.62,1.71,20.7
544,544,Aalesund,Norwegian Tippeligaen,0.73,1.92,20.51
545,545,Mjondalen,Norwegian Tippeligaen,0.79,2.01,20.46
546,546,Jubilo Iwata,Japanese J League,0.61,1.73,20.35
547,547,Hamilton Academical,Scottish Premiership,0.75,1.95,20.34
548,548,North Carolina FC,United Soccer League,0.79,2.03,20.3
549,549,Panionios,Greek Super League,0.56,1.64,20.2
550,550,Swindon Town,English League Two,0.76,1.98,20.19
551,551,Lincoln City,English League One,0.7,1.9,20.12
552,552,Trapani,Italy Serie B,0.73,1.97,19.81
553,553,Plymouth Argyle,English League Two,0.71,1.95,19.65
554,554,Orléans,French Ligue 2,0.66,1.88,19.39
555,555,Livorno,Italy Serie B,0.69,1.93,19.27
556,556,Blackpool,English League One,0.64,1.86,19.26
557,557,Milton Keynes Dons,English League One,0.62,1.82,19.21
558,558,Portland Timbers 2,United Soccer League,0.96,2.4,19.15
559,559,Pisa,Italy Serie B,0.65,1.89,19.07
560,560,Crewe Alexandra,English League Two,0.77,2.09,19.01
561,561,Highlands Park FC,South African ABSA Premier League,0.57,1.75,18.95
562,562,Mjallby,Swedish Allsvenskan,0.66,1.93,18.7
563,563,Wycombe Wanderers,English League One,0.64,1.9,18.61
564,564,Ascoli,Italy Serie B,0.67,1.97,18.39
565,565,Ross County,Scottish Premiership,0.72,2.07,18.38
566,566,Kalmar FF,Swedish Allsvenskan,0.62,1.89,18.17
567,567,Juve Stabia,Italy Serie B,0.69,2.04,18
568,568,IK Start,Norwegian Tippeligaen,0.64,1.97,17.88
569,569,El Paso Locomotive FC,United Soccer League,0.58,1.87,17.78
570,570,New Mexico United,United Soccer League,0.73,2.13,17.77
571,571,Accrington Stanley,English League One,0.67,2.04,17.61
572,572,Oklahoma City Energy FC,United Soccer League,0.72,2.12,17.58
573,573,San Diego Loyal SC,United Soccer League,0.67,2.05,17.5
574,574,Matsumoto Yamaga FC,Japanese J League,0.39,1.53,17.45
575,575,Sandefjord,Norwegian Tippeligaen,0.62,1.98,17.15
576,576,Golden Arrows,South African ABSA Premier League,0.43,1.63,17.14
577,577,Cheltenham Town,English League Two,0.49,1.75,17
578,578,Charlotte Independence,United Soccer League,0.66,2.11,16.59
579,579,Central Coast Mariners,Australian A-League,0.8,2.41,15.92
580,580,LA Galaxy II,United Soccer League,0.73,2.31,15.71
581,581,Charleston Battery,United Soccer League,0.55,1.99,15.58
582,582,Polokwane City FC,South African ABSA Premier League,0.47,1.84,15.52
583,583,Birmingham Legion FC,United Soccer League,0.61,2.12,15.43
584,584,Northampton Town,English League Two,0.58,2.07,15.41
585,585,Colchester United,English League Two,0.53,2.01,14.96
586,586,Exeter City,English League Two,0.58,2.11,14.93
587,587,Falkenbergs FF,Swedish Allsvenskan,0.59,2.14,14.7
588,588,Salford City,English League Two,0.53,2.03,14.7
589,589,AFC Wimbledon,English League One,0.48,1.96,14.47
590,590,Rochdale,English League One,0.59,2.2,14.25
591,591,Shrewsbury Town,English League One,0.44,1.9,14.11
592,592,Bristol Rovers,English League One,0.49,2.01,13.99
593,593,Chippa United,South African ABSA Premier League,0.26,1.54,13.92
594,594,AmaZulu,South African ABSA Premier League,0.31,1.68,13.48
595,595,Varbergs BoIS FC,Swedish Allsvenskan,0.47,2.04,13.37
596,596,Memphis 901 FC,United Soccer League,0.55,2.22,13.23
597,597,Crawley Town,English League Two,0.49,2.13,12.85
598,598,Baroka FC,South African ABSA Premier League,0.24,1.57,12.84
599,599,Colorado Springs Switchbacks FC,United Soccer League,0.51,2.2,12.62
600,600,Tranmere Rovers,English League One,0.51,2.23,12.43
601,601,New York Red Bulls II,United Soccer League,0.57,2.34,12.42
602,602,Stellenbosch FC,South African ABSA Premier League,0.35,1.89,12.29
603,603,Port Vale,English League Two,0.42,2.07,12.01
604,604,Bradford City,English League Two,0.42,2.07,12.01
605,605,Tulsa Roughnecks,United Soccer League,0.54,2.34,11.88
606,606,Hartford Athletic,United Soccer League,0.62,2.53,11.76
607,607,Black Leopards,South African ABSA Premier League,0.39,2.03,11.75
608,608,Mansfield Town,English League Two,0.54,2.35,11.73
609,609,Loudoun United FC,United Soccer League,0.56,2.41,11.62
610,610,Oldham Athletic,English League Two,0.5,2.35,11.1
611,611,Southend United,English League One,0.62,2.62,10.98
612,612,Las Vegas Lights FC,United Soccer League,0.46,2.29,10.91
613,613,Scunthorpe,English League Two,0.43,2.3,10.33
614,614,Forest Green Rovers,English League Two,0.37,2.16,10.24
615,615,Walsall,English League Two,0.4,2.26,9.99
616,616,Tacoma Defiance,United Soccer League,0.51,2.52,9.91
617,617,Bolton,English League One,0.38,2.25,9.8
618,618,Leyton Orient,English League Two,0.43,2.37,9.7
619,619,Grimsby Town,English League Two,0.38,2.28,9.49
620,620,Rio Grande Valley FC Toros,United Soccer League,0.35,2.44,8.01
621,621,Carlisle United,English League Two,0.28,2.31,7.65
622,622,Newport County,English League Two,0.2,2.11,7.51
623,623,Atlanta United 2,United Soccer League,0.37,2.58,7.44
624,624,Swope Park Rangers,United Soccer League,0.38,2.64,7.19
625,625,Bethlehem Steel FC,United Soccer League,0.36,2.63,6.9
626,626,Macclesfield,English League Two,0.2,2.27,6.56
627,627,Cambridge United,English League Two,0.2,2.29,6.42
628,628,Stevenage,English League Two,0.2,2.3,6.39
629,629,Morecambe,English League Two,0.2,2.4,5.85
